"REPORT_START_DATE","WEEK_NUMBER","ORDER_PLACED_AT_UTC","TRANSACTION_COMPLETED_AT_UTC","SELLER_ID","TRANSACTION_TYPE","TRANSACTION_MESSAGE","ORDER_ID","LISTING_TITLE","LISTING_DESCRIPTION","PRODUCT_CATEGORY","BUY_FORMAT","SALE_TYPE","QUANTITY_SOLD","SKU","COST_OF_GOODS","LIVESTREAM_ID","LIVESTREAM_TITLE","BUYER_NAME","BUYER_STATE","BUYER_COUNTRY","SHIPMENT_ID","TRANSACTION_CURRENCY","TRANSACTION_AMOUNT","BUYER_PAID","ORIGINAL_ITEM_PRICE","COUPON_COST","POST_COUPON_PRICE","SHIPPING_FEE","COMMISSION_FEE","PAYMENT_PROCESSING_FEE","TAX_ON_COMMISSION_FEE","TAX_ON_PAYMENT_PROCESSING_FEE","LEDGER_TRANSACTION_ID"
"2025-10-20 00:00:00",43,"2025-10-25 13:29:08","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #2","600912771","Item in hand. #2","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","nodnarb000","AL","US","196940956","USD",97.33,109.47,105.00,0.00,105.00,0.00,4.20,3.47,0.00,0.00,"596698842"
"2025-10-20 00:00:00",43,"2025-10-25 13:25:03","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #1","600909461","Item in hand. #1","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","pgill1112","UT","US","196939822","USD",32.17,39.11,35.00,0.00,35.00,0.00,1.40,1.43,0.00,0.00,"596695344"
"2025-10-20 00:00:00",43,"2025-10-25 13:32:16","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #3","600915312","Item in hand. #3","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","josephdan5054","AZ","US","196941819","USD",21.92,28.29,24.00,0.00,24.00,0.00,0.96,1.12,0.00,0.00,"596701506"
"2025-10-20 00:00:00",43,"2025-10-25 13:44:45","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #5","600925254","Item in hand. #5","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","sc00tertrash","IN","US","196945211","USD",274.22,299.47,295.00,0.00,295.00,0.00,11.80,8.98,0.00,0.00,"596712145"
"2025-10-20 00:00:00",43,"2025-10-25 13:46:03","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #6","600926307","Item in hand. #6","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","meekacass","FL","US","196945581","USD",85.02,103.51,92.00,0.00,92.00,0.00,3.68,3.30,0.00,0.00,"596713229"
"2025-10-20 00:00:00",43,"2025-10-25 13:42:38","2025-10-25 13:49:36",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #4","600923483","Item in hand. #4","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","05e9f665-4b40-4d82-adc8-ce4a41a9d731","Rapid Fast Show","shaunjack85","MO","US","196944606","USD",9.81,15.35,11.00,0.00,11.00,0.00,0.44,0.75,0.00,0.00,"596710290"
